Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
"Crestview-Fort Walton Beach-Destin, FL Metro Area",68.6,31.4,80.7,19.3,62,38,46.2,53.8,57.2,42.8
"Crossville, TN Micro Area",79.1,20.9,89,11,60.7,39.3,53.6,46.4,71,29
"Cullman, AL Micro Area",74.8,25.2,86,14,64.2,35.8,57.9,42.1,62.5,37.5
"Cullowhee, NC Micro Area",66.5,33.5,83.2,16.8,63.8,36.3,53.8,46.2,51.3,48.7
"Cumberland, MD-WV Metro Area",71.7,28.3,90.2,9.8,62.5,37.5,49.2,50.8,56.8,43.2
"Dallas-Fort Worth-Arlington, TX Metro Area",59.7,40.3,76.9,23.1,49.6,50.4,43.3,56.7,39.7,60.3
"Dalton, GA Metro Area",67.2,32.8,76.9,23.1,54.7,45.3,53.2,46.8,58.4,41.6
"Danville, IL Metro Area",70.8,29.2,87.6,12.4,56.9,43.1,52.6,47.4,61.4,38.6
"Danville, KY Micro Area",73.3,26.7,85.3,14.7,67.4,32.6,48.6,51.4,64,36
"Danville, VA Micro Area",65.3,34.7,82.5,17.5,53.7,46.3,41.4,58.6,56.9,43.1
"Daphne-Fairhope-Foley, AL Metro Area",77,23,87.4,12.6,66,34,62.6,37.4,64.5,35.5
"Davenport-Moline-Rock Island, IA-IL Metro Area",70.7,29.3,88.1,11.9,65.7,34.3,46.4,53.6,55.9,44.1
"Dayton, TN Micro Area",73.7,26.3,84.6,15.4,84.9,15.1,59.3,40.7,61.8,38.2
"Dayton-Kettering, OH Metro Area",63.6,36.4,83.1,16.9,52.4,47.6,42.6,57.4,50.1,49.9
"Decatur, AL Metro Area",73.5,26.5,86.8,13.2,71.3,28.7,46.7,53.3,62.4,37.6
"Decatur, IL Metro Area",69.1,30.9,88,12,71,29,40.9,59.1,56.3,43.7
"Decatur, IN Micro Area",77.8,22.2,92,8,67.8,32.2,55.9,44.1,60.8,39.2
"Defiance, OH Micro Area",77.5,22.5,93.1,6.9,71.8,28.2,51.3,48.7,60.1,39.9
"Del Rio, TX Micro Area",64.8,35.2,76.8,23.2,37.2,62.8,55.8,44.2,51,49
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",72.1,27.9,82.7,17.3,56.5,43.5,55.7,44.3,65,35
"Deming, NM Micro Area",62.3,37.7,77.8,22.2,47.8,52.2,39.8,60.2,54.8,45.2
"Denver-Aurora-Lakewood, CO Metro Area",64.8,35.2,81.1,18.9,56.5,43.5,51.5,48.5,48,52
"DeRidder, LA Micro Area",79.4,20.6,90.5,9.5,65.5,34.5,61.9,38.1,71.3,28.7
"Des Moines-West Des Moines, IA Metro Area",69.6,30.4,86.9,13.1,67.6,32.4,52.7,47.3,51.6,48.4
"Detroit-Warren-Dearborn, MI Metro Area",69.5,30.5,86.4,13.6,64.9,35.1,52.6,47.4,55.9,44.1
"Dickinson, ND Micro Area",63.7,36.3,82.6,17.4,60.2,39.8,49.9,50.1,42.5,57.5
"Dixon, IL Micro Area",69.6,30.4,87.9,12.1,62.7,37.3,59.7,40.3,51.9,48.1
"Dodge City, KS Micro Area",63.1,36.9,77.6,22.4,54.2,45.8,44.8,55.2,46.3,53.7
"Dothan, AL Metro Area",69.7,30.3,85,15,54,46,41.8,58.2,60.2,39.8
"Douglas, GA Micro Area",66.1,33.9,78.2,21.8,63.8,36.2,44.2,55.8,58.4,41.6
"Dover, DE Metro Area",68.8,31.2,83.1,16.9,59.2,40.8,52.5,47.5,58,42
"Dublin, GA Micro Area",64.2,35.8,80.8,19.2,53,47,40.2,59.8,56.9,43.1
"DuBois, PA Micro Area",77.4,22.6,89.5,10.5,68.9,31.1,57.6,42.4,67,33
"Dubuque, IA Metro Area",73.4,26.6,91.5,8.5,64.9,35.1,52.7,47.3,52.5,47.5
"Duluth, MN-WI Metro Area",72.3,27.7,91.6,8.4,73.2,26.8,55.7,44.3,54.8,45.2
"Dumas, TX Micro Area",65.8,34.2,75.2,24.8,37.7,62.3,66.3,33.7,49.5,50.5
"Duncan, OK Micro Area",74.4,25.6,86,14,61.7,38.3,58.6,41.4,62.6,37.4
"Durango, CO Micro Area",71,29,83.9,16.1,40.9,59.1,48.1,51.9,60.1,39.9
"Durant, OK Micro Area",62.7,37.3,77.3,22.7,45.3,54.7,48.9,51.1,50.2,49.8
"Durham-Chapel Hill, NC Metro Area",62.9,37.1,83.1,16.9,46.1,53.9,45.7,54.3,46.5,53.5
"Dyersburg, TN Micro Area",62.3,37.7,79.5,20.5,53.8,46.2,36.8,63.2,52.6,47.4
"Eagle Pass, TX Micro Area",66.4,33.6,77.4,22.6,70.8,29.2,48.2,51.8,51.4,48.6
"Easton, MD Micro Area",71.2,28.8,86.9,13.1,62.1,37.9,51.1,48.9,57.2,42.8
"East Stroudsburg, PA Metro Area",77.1,22.9,87.9,12.1,67.9,32.1,60.6,39.4,65.2,34.8
"Eau Claire, WI Metro Area",67.7,32.3,87.9,12.1,53.7,46.3,43.8,56.2,47.9,52.1
"Edwards, CO Micro Area",69.7,30.3,80.1,19.9,72,28,43,57,58.5,41.5
"Effingham, IL Micro Area",76.7,23.3,89.5,10.5,62.6,37.4,56,44,64.3,35.7
"El Campo, TX Micro Area",66.3,33.7,83,17,60.5,39.5,45.3,54.7,51.1,48.9
"El Centro, CA Metro Area",58.1,41.9,68.7,31.3,52.2,47.8,40.7,59.3,52.5,47.5
"El Dorado, AR Micro Area",74.4,25.6,85.5,14.5,71.8,28.2,51.8,48.2,71.3,28.7
"Elizabeth City, NC Micro Area",66.4,33.6,80.1,19.9,55.1,44.9,38.7,61.3,57.3,42.7
"Elizabethtown-Fort Knox, KY Metro Area",65,35,79.3,20.7,51.7,48.3,48.1,51.9,50.3,49.7
"Elk City, OK Micro Area",67.1,32.9,80.2,19.8,72.4,27.6,57.8,42.2,52.5,47.5
"Elkhart-Goshen, IN Metro Area",70.4,29.6,85.4,14.6,50.9,49.1,52.7,47.3,55.2,44.8
"Elkins, WV Micro Area",71.2,28.8,86.4,13.6,77.3,22.7,54.9,45.1,56.8,43.2
"Elko, NV Micro Area",69.3,30.7,83.2,16.8,54.6,45.4,50.2,49.8,52.9,47.1
"Ellensburg, WA Micro Area",59.8,40.2,84.6,15.4,62.1,37.9,55,45,34.7,65.3
"Elmira, NY Metro Area",67.2,32.8,86.2,13.8,60.7,39.3,40.1,59.9,55.4,44.6
"El Paso, TX Metro Area",62.3,37.7,73.6,26.4,62.8,37.2,52.9,47.1,49.2,50.8
"Emporia, KS Micro Area",59.3,40.7,87.2,12.8,36.5,63.5,51.3,48.7,33,67
"Enid, OK Metro Area",65.4,34.6,77.8,22.2,55.5,44.5,40.7,59.3,56.6,43.4
"Enterprise, AL Micro Area",67.8,32.2,79.8,20.2,55,45,44.2,55.8,60.8,39.2
"Erie, PA Metro Area",67,33,87.4,12.6,60.2,39.8,48.4,51.6,50.5,49.5
"Escanaba, MI Micro Area",77.6,22.4,92.8,7.2,64.4,35.6,61.1,38.9,61.6,38.4
"Española, NM Micro Area",76.7,23.3,89.1,10.9,78.5,21.5,73.3,26.7,65.4,34.6
"Eufaula, AL-GA Micro Area",63.5,36.5,79,21,77.7,22.3,39.9,60.1,56.8,43.2
"Eugene-Springfield, OR Metro Area",59.1,40.9,78.5,21.5,52.3,47.7,43.7,56.3,43.5,56.5
"Eureka-Arcata, CA Micro Area",56.8,43.2,78.5,21.5,50.6,49.4,44.2,55.8,43.1,56.9
"Evanston, WY Micro Area",77,23,90.4,9.6,59.1,40.9,63.2,36.8,57,43
"Evansville, IN-KY Metro Area",69,31,85.3,14.7,54.7,45.3,51.1,48.9,54.8,45.2
"Fairbanks, AK Metro Area",58.9,41.1,68.2,31.8,62.3,37.7,41.7,58.3,47.9,52.1
"Fairfield, IA Micro Area",69.6,30.4,83.1,16.9,55,45,70.1,29.9,56.9,43.1
"Fairmont, MN Micro Area",73.5,26.5,89.6,10.4,61.3,38.7,55.4,44.6,57.6,42.4
"Fairmont, WV Micro Area",74.4,25.6,89.8,10.2,60.2,39.8,60.4,39.6,59.1,40.9
"Fallon, NV Micro Area",68.6,31.4,84.2,15.8,60.5,39.5,45.6,54.4,55,45
"Fargo, ND-MN Metro Area",55.9,44.1,80.1,19.9,48.5,51.5,44.4,55.6,32.2,67.8
"Faribault-Northfield, MN Micro Area",74.4,25.6,90.1,9.9,73.3,26.7,52.9,47.1,53.8,46.2
"Farmington, MO Micro Area",67.9,32.1,82.2,17.8,58.4,41.6,46.8,53.2,55.8,44.2
"Farmington, NM Metro Area",70.8,29.2,81.8,18.2,66.9,33.1,55.3,44.7,62.2,37.8
"Fayetteville, NC Metro Area",56.6,43.4,71.4,28.6,43.6,56.4,40.2,59.8,47.2,52.8
"Fayetteville-Springdale-Rogers, AR Metro Area",60.7,39.3,76.5,23.5,43.7,56.3,41.1,58.9,43.1,56.9
"Fergus Falls, MN Micro Area",79.7,20.3,93.9,6.1,78.1,21.9,45.3,54.7,63.1,36.9
"Fernley, NV Micro Area",73,27,80,20,57.8,42.2,53.1,46.9,70.2,29.8
"Findlay, OH Micro Area",68.4,31.6,87.6,12.4,63.8,36.2,53.1,46.9,50.2,49.8
"Fitzgerald, GA Micro Area",57.6,42.4,78.6,21.4,41.2,58.8,41.3,58.7,48.1,51.9
"Flagstaff, AZ Metro Area",60.8,39.2,80.3,19.7,54.7,45.3,56.5,43.5,42.7,57.3
"Flint, MI Metro Area",70,30,88.5,11.5,65.7,34.3,52.3,47.7,57.1,42.9
"Florence, SC Metro Area",67,33,84.4,15.6,61.6,38.4,47,53,57.6,42.4
"Florence-Muscle Shoals, AL Metro Area",69.3,30.7,85.4,14.6,63.3,36.7,52.3,47.7,54.4,45.6
"Fond du Lac, WI Metro Area",70.6,29.4,88.4,11.6,53,47,44.4,55.6,49.7,50.3
"Forest City, NC Micro Area",71.6,28.4,85.3,14.7,63.2,36.8,48.2,51.8,63.8,36.2
"Forrest City, AR Micro Area",54.8,45.2,64.2,35.8,62.5,37.5,40.1,59.9,53.2,46.8
"Fort Collins, CO Metro Area",66.3,33.7,84.5,15.5,50.2,49.8,51.7,48.3,45.7,54.3
"Fort Dodge, IA Micro Area",68.3,31.7,88.8,11.2,65.4,34.6,45.7,54.3,54.1,45.9
"Fort Leonard Wood, MO Micro Area",52.3,47.7,59.6,40.4,43,57,41.5,58.5,43.6,56.4
"Fort Madison-Keokuk, IA-IL-MO Micro Area",76.6,23.4,89.3,10.7,76,24,56.4,43.6,62.2,37.8
"Fort Morgan, CO Micro Area",62.9,37.1,72.2,27.8,60.3,39.7,48.6,51.4,52.5,47.5
"Fort Payne, AL Micro Area",73.1,26.9,84.1,15.9,62.5,37.5,55.1,44.9,58.9,41.1
"Fort Polk South, LA Micro Area",52.7,47.3,58.8,41.2,59.4,40.6,44.2,55.8,44.2,55.8
"Fort Smith, AR-OK Metro Area",66.2,33.8,80.7,19.3,55.8,44.2,47,53,53.5,46.5
"Fort Wayne, IN Metro Area",69.7,30.3,86.6,13.4,65,35,53.5,46.5,53.9,46.1
"Frankfort, IN Micro Area",70.1,29.9,86.1,13.9,59.4,40.6,52.1,47.9,54.2,45.8
"Frankfort, KY Micro Area",66.2,33.8,85,15,58.7,41.3,42.1,57.9,53.1,46.9
"Fredericksburg, TX Micro Area",71.4,28.6,84.8,15.2,50.3,49.7,43.8,56.2,56.5,43.5
"Freeport, IL Micro Area",69.9,30.1,89.4,10.6,55.1,44.9,48.3,51.7,54,46
"Fremont, NE Micro Area",62.2,37.8,78.2,21.8,41.4,58.6,46.5,53.5,46.2,53.8
"Fremont, OH Micro Area",71.5,28.5,86.7,13.3,54.4,45.6,54,46,58.9,41.1
"Fresno, CA Metro Area",53.7,46.3,67.6,32.4,43.8,56.2,36.2,63.8,43.4,56.6
"Gadsden, AL Metro Area",73,27,86.8,13.2,67.2,32.8,48,52,65.8,34.2
"Gaffney, SC Micro Area",70.9,29.1,82.4,17.6,64,36,61.3,38.7,63.4,36.6
"Gainesville, FL Metro Area",59.5,40.5,81.4,18.6,57,43,49.7,50.3,44.1,55.9
"Gainesville, GA Metro Area",68.9,31.1,80.4,19.6,60.3,39.7,47.6,52.4,55.8,44.2
"Gainesville, TX Micro Area",70,30,83.3,16.7,59.2,40.8,40.7,59.3,57.2,42.8
"Galesburg, IL Micro Area",66.5,33.5,85.8,14.2,53.9,46.1,47,53,53.8,46.2
"Gallup, NM Micro Area",68,32,74.8,25.2,68.2,31.8,67.1,32.9,60.4,39.6
"Garden City, KS Micro Area",65.1,34.9,77.6,22.4,48.5,51.5,52.3,47.7,52.3,47.7
"Gardnerville Ranchos, NV Micro Area",74.5,25.5,84.5,15.5,67.5,32.5,58.2,41.8,61,39
"Georgetown, SC Micro Area",79.8,20.2,87.4,12.6,72.7,27.3,63.3,36.7,76.1,23.9
"Gettysburg, PA Metro Area",77.8,22.2,86.3,13.7,80.1,19.9,59.6,40.4,66.3,33.7
"Gillette, WY Micro Area",76.3,23.7,85.8,14.2,75,25,45.7,54.3,63.9,36.1
"Glasgow, KY Micro Area",68,32,83.8,16.2,53.6,46.4,39.6,60.4,57.1,42.9
"Glens Falls, NY Metro Area",71.6,28.4,87.3,12.7,71.4,28.6,54.6,45.4,57.9,42.1
"Glenwood Springs, CO Micro Area",67.5,32.5,78.3,21.7,53.2,46.8,54.4,45.6,54.9,45.1
"Gloversville, NY Micro Area",69.7,30.3,84.8,15.2,54,46,47.3,52.7,63.3,36.7
"Goldsboro, NC Metro Area",62.9,37.1,78.9,21.1,50.4,49.6,41.9,58.1,53.5,46.5
"Granbury, TX Micro Area",79.5,20.5,87.5,12.5,70.2,29.8,66.9,33.1,64.9,35.1
"Grand Forks, ND-MN Metro Area",55.2,44.8,81.2,18.8,59.3,40.7,37.5,62.5,34.5,65.5
"Grand Island, NE Metro Area",64.9,35.1,84.1,15.9,45.2,54.8,38.3,61.7,47.8,52.2
"Grand Junction, CO Metro Area",69.1,30.9,84.1,15.9,50.3,49.7,55.1,44.9,55.8,44.2
"Grand Rapids, MN Micro Area",82.4,17.6,93.8,6.2,83.1,16.9,60.9,39.1,70.1,29.9
"Grand Rapids-Kentwood, MI Metro Area",73.4,26.6,89,11,64.9,35.1,55.6,44.4,53.7,46.3
"Grants, NM Micro Area",71.6,28.4,79.7,20.3,55.9,44.1,64.7,35.3,68.9,31.1
"Grants Pass, OR Metro Area",68.8,31.2,81.3,18.7,56.4,43.6,55.7,44.3,55.3,44.7
"Great Bend, KS Micro Area",67.4,32.6,82,18,56.6,43.4,38.7,61.3,55.1,44.9
"Great Falls, MT Metro Area",66.6,33.4,80.4,19.6,53.2,46.8,54.7,45.3,55.3,44.7
"Greeley, CO Metro Area",74.5,25.5,84,16,64,36,55.5,44.5,62.5,37.5
"Green Bay, WI Metro Area",68.1,31.9,87.2,12.8,58.5,41.5,41.4,58.6,48.9,51.1
"Greeneville, TN Micro Area",75.8,24.2,86.6,13.4,63.2,36.8,59.3,40.7,68.6,31.4
"Greensboro-High Point, NC Metro Area",63,37,81.8,18.2,51.6,48.4,40.6,59.4,50.1,49.9
"Greensburg, IN Micro Area",70.4,29.6,82.3,17.7,49.6,50.4,50.7,49.3,59,41
"Greenville, MS Micro Area",54.6,45.4,74.6,25.4,50.8,49.2,36.5,63.5,48.6,51.4
"Greenville, NC Metro Area",52.6,47.4,78.6,21.4,55.8,44.2,30.3,69.7,36.3,63.7
"Greenville, OH Micro Area",70.8,29.2,86,14,50.6,49.4,39.7,60.3,57.4,42.6
"Greenville-Anderson, SC Metro Area",69.5,30.5,85,15,58.4,41.6,51,49,54.5,45.5
"Greenwood, MS Micro Area",63,37,87.1,12.9,59.5,40.5,46.5,53.5,50.7,49.3
"Greenwood, SC Micro Area",62.3,37.7,85.4,14.6,49.7,50.3,37.7,62.3,50.1,49.9
"Grenada, MS Micro Area",67.8,32.2,91.5,8.5,23.8,76.2,37.7,62.3,65.1,34.9
"Guayama, PR Metro Area",72.1,27.9,82.7,17.3,59.5,40.5,63.9,36.1,69.6,30.4
"Gulfport-Biloxi, MS Metro Area",66,34,80.7,19.3,59.6,40.4,44.8,55.2,56.7,43.3
"Guymon, OK Micro Area",67,33,79.5,20.5,49.3,50.7,45.4,54.6,55.9,44.1
"Hagerstown-Martinsburg, MD-WV Metro Area",71,29,84.3,15.7,60.7,39.3,47.2,52.8,61,39
"Hailey, ID Micro Area",72.7,27.3,81.6,18.4,62.3,37.7,58.8,41.2,64,36
"Hammond, LA Metro Area",70.3,29.7,85.2,14.8,61.7,38.3,52.5,47.5,60.3,39.7
"Hanford-Corcoran, CA Metro Area",53.6,46.4,63.3,36.7,41,59,38.5,61.5,46.3,53.7
"Hannibal, MO Micro Area",70.2,29.8,84,16,66.3,33.7,43.2,56.8,56.4,43.6
"Harrisburg-Carlisle, PA Metro Area",67.5,32.5,85.2,14.8,56.4,43.6,46.5,53.5,51.4,48.6
"Harrison, AR Micro Area",74,26,85.5,14.6,57.6,42.4,52.5,47.5,61.7,38.3
"Harrisonburg, VA Metro Area",62.6,37.4,78.7,21.3,50.5,49.5,43.5,56.5,47.2,52.8
"Hartford-East Hartford-Middletown, CT Metro Area",66.4,33.6,85.4,14.6,57.2,42.8,47.5,52.5,49.4,50.6
"Hastings, NE Micro Area",68.1,31.9,86.8,13.2,71.8,28.2,50.3,49.7,47.8,52.2
"Hattiesburg, MS Metro Area",65.1,34.9,84.1,15.9,53.7,46.3,43.2,56.8,50,50
"Hays, KS Micro Area",62.8,37.2,91.1,8.9,47.9,52.1,35.1,64.9,37,63
"Heber, UT Micro Area",76.3,23.7,84.4,15.6,66.3,33.7,62.4,37.6,59.8,40.2
"Helena, MT Micro Area",73.4,26.6,89.3,10.7,55,45,63.1,36.9,55.7,44.3
"Helena-West Helena, AR Micro Area",46.1,53.9,70.3,29.7,50.5,49.5,21.3,78.7,38.9,61.1
"Henderson, NC Micro Area",58,42,75.3,24.7,51.3,48.7,42.2,57.8,49.5,50.5
"Hereford, TX Micro Area",65.5,34.5,73.9,26.1,42.6,57.4,63.8,36.2,53.5,46.5
"Hermiston-Pendleton, OR Micro Area",66.3,33.7,82.7,17.3,60.7,39.3,41,59,50.4,49.6
"Hickory-Lenoir-Morganton, NC Metro Area",73.4,26.6,84.3,15.7,60.5,39.5,54.8,45.2,65.8,34.2
"Hillsdale, MI Micro Area",77.4,22.6,89.7,10.3,71.9,28.1,60.3,39.7,64.1,35.9
"Hilo, HI Micro Area",69.3,30.7,79.7,20.3,50.4,49.6,53.1,46.9,63.7,36.3
"Hilton Head Island-Bluffton, SC Metro Area",74.6,25.4,83.6,16.4,73.1,26.9,56.7,43.3,65.2,34.8
"Hinesville, GA Metro Area",49.3,50.7,56.9,43.1,31.2,68.8,41.6,58.4,45.1,54.9
"Hobbs, NM Micro Area",68,32,81.1,18.9,52.2,47.8,47.8,52.2,58.5,41.5
"Holland, MI Micro Area",84.4,15.6,92.2,7.8,82.7,17.3,65.6,34.4,74.1,25.9
"Homosassa Springs, FL Metro Area",83.5,16.5,90.1,9.9,69.1,30.9,69.5,30.5,79.5,20.5
"Hood River, OR Micro Area",68.4,31.6,79.8,20.2,77.6,22.4,62.6,37.4,50.8,49.2
"Hope, AR Micro Area",68.8,31.2,85.2,14.8,50.6,49.4,51.5,48.5,55.2,44.8
"Hot Springs, AR Metro Area",67.1,32.9,83.9,16.1,57.4,42.6,46.8,53.2,54.6,45.4
"Houghton, MI Micro Area",68.3,31.7,89.8,10.2,88.5,11.5,58.2,41.8,46.1,53.9
"Houma-Thibodaux, LA Metro Area",73.9,26.1,88.6,11.4,67.6,32.4,54.5,45.5,60.6,39.4
"Houston-The Woodlands-Sugar Land, TX Metro Area",60.9,39.1,77.3,22.7,49.3,50.7,44.7,55.3,42.1,57.9
"Hudson, NY Micro Area",73.2,26.8,85.1,14.9,75.2,24.8,55.2,44.8,61.6,38.4
"Huntingdon, PA Micro Area",77,23,89.2,10.8,56.7,43.3,50.7,49.3,66.3,33.7
"Huntington, IN Micro Area",75.5,24.5,87.5,12.5,70.1,29.9,57.1,42.9,64.6,35.4
"Huntington-Ashland, WV-KY-OH Metro Area",71.7,28.3,86.7,13.3,66.2,33.8,53.7,46.3,57.8,42.2
"Huntsville, AL Metro Area",69.3,30.7,85.6,14.4,57.6,42.4,51.9,48.1,53.9,46.1
"Huntsville, TX Micro Area",51.9,48.1,75,25,54.3,45.7,37.2,62.8,33.2,66.8
"Huron, SD Micro Area",67.2,32.8,77.9,22.1,66.9,33.1,45.5,54.5,55.2,44.8
"Hutchinson, KS Micro Area",69.9,30.1,87.6,12.4,55.9,44.1,45.4,54.6,55.2,44.8
"Hutchinson, MN Micro Area",76.3,23.7,91.9,8.1,90.8,9.2,52.2,47.8,58.6,41.4
"Idaho Falls, ID Metro Area",71.9,28.1,85.3,14.7,55.5,44.5,50.7,49.3,54.7,45.3
"Indiana, PA Micro Area",70.1,29.9,88,12,63.5,36.5,68.5,31.5,48.6,51.4
"Indianapolis-Carmel-Anderson, IN Metro Area",65.7,34.3,84.5,15.5,59.2,40.8,45.9,54.1,48.2,51.8
"Indianola, MS Micro Area",53.3,46.7,79.6,20.4,58.3,41.7,37.4,62.6,43.9,56.1
"Iowa City, IA Metro Area",59.9,40.1,83.1,16.9,62.3,37.7,52.8,47.2,36.6,63.4
"Iron Mountain, MI-WI Micro Area",80.6,19.4,95,5,59.4,40.6,65.3,34.7,67.5,32.5
"Ithaca, NY Metro Area",54,46,81.3,18.7,55.9,44.1,50,50,30.9,69.1
"Jackson, MI Metro Area",74.3,25.7,89.4,10.6,75.3,24.7,58.8,41.2,59.9,40.1
"Jackson, MS Metro Area",67.6,32.4,85.7,14.3,62.8,37.2,48.6,51.4,55.5,44.5
"Jackson, OH Micro Area",72.8,27.2,86.8,13.2,57.6,42.4,43.7,56.3,62.6,37.4
"Jackson, TN Metro Area",65.1,34.9,83.7,16.3,62.4,37.6,36,64,53.2,46.8
"Jackson, WY-ID Micro Area",62.6,37.4,79.3,20.7,23.9,76.1,52.5,47.5,45.4,54.6
"Jacksonville, FL Metro Area",65.3,34.7,80.6,19.4,54.2,45.8,48.5,51.5,52.1,47.9
"Jacksonville, IL Micro Area",71.1,28.9,88.3,11.7,64.7,35.3,47.5,52.5,57.9,42.1
"Jacksonville, NC Metro Area",54.2,45.8,60,40,44.6,55.4,39,61,50.3,49.7
"Jacksonville, TX Micro Area",72,28,82,18,60.3,39.7,55.1,44.9,61.8,38.2
"Jamestown, ND Micro Area",62.5,37.5,83.5,16.5,54.1,45.9,40.4,59.6,47.3,52.7
"Jamestown-Dunkirk-Fredonia, NY Micro Area",68.6,31.4,86.7,13.3,56.5,43.5,51.4,48.6,54.7,45.3
"Janesville-Beloit, WI Metro Area",68.4,31.6,86.6,13.4,52.6,47.4,48.4,51.6,53.4,46.6
"Jasper, AL Micro Area",77.9,22.1,87.9,12.1,75,25,57.1,42.9,70.6,29.4
"Jasper, IN Micro Area",80,20,94,6,78.8,21.2,58.2,41.8,64.6,35.4
"Jayuya, PR Micro Area",57.9,42.1,79.8,20.2,44.1,55.9,26.2,73.8,56.6,43.4
"Jefferson, GA Micro Area",79,21,86.8,13.2,79.8,20.2,56.7,43.3,67.6,32.4
"Jefferson City, MO Metro Area",71.7,28.3,87,13,60,40,49.1,50.9,55.8,44.2
"Jennings, LA Micro Area",75.5,24.5,88.4,11.6,75.6,24.4,62.5,37.5,62.9,37.1
"Jesup, GA Micro Area",62.8,37.2,77.8,22.2,31.6,68.4,44,56,49,51
"Johnson City, TN Metro Area",67,33,83.9,16.1,53.1,46.9,51.5,48.5,51.8,48.2
"Johnstown, PA Metro Area",74.7,25.3,92.1,7.9,67.7,32.3,61.2,38.8,58.7,41.3
"Jonesboro, AR Metro Area",58.1,41.9,77.4,22.6,47.4,52.6,40.4,59.6,40.7,59.3
"Joplin, MO Metro Area",66.4,33.6,81.1,18.9,59.3,40.7,46.6,53.4,51.9,48.1
"Juneau, AK Micro Area",64.6,35.4,80.7,19.3,53.1,46.9,54.6,45.4,50.4,49.6
"Kahului-Wailuku-Lahaina, HI Metro Area",62.5,37.5,74.4,25.6,56.2,43.8,48.6,51.4,49,51
"Kalamazoo-Portage, MI Metro Area",64.5,35.5,87.7,12.3,53.3,46.7,46.7,53.3,43.9,56.1
"Kalispell, MT Micro Area",73.8,26.2,85.8,14.2,63.4,36.6,62.8,37.2,58.5,41.5
"Kankakee, IL Metro Area",67.1,32.9,85.1,14.9,59.3,40.7,45.8,54.2,50.2,49.8
"Kansas City, MO-KS Metro Area",65.2,34.8,83.5,16.5,57.5,42.5,46.5,53.5,47.2,52.8
"Kapaa, HI Micro Area",65.1,34.9,75.7,24.3,45,55,48.7,51.3,58.1,41.9
"Kearney, NE Micro Area",67.1,32.9,87.6,12.4,29,71,52.4,47.6,46.1,53.9
"Keene, NH Micro Area",68.1,31.9,87.5,12.5,58.3,41.7,54.6,45.4,47.5,52.5
"Kendallville, IN Micro Area",76.4,23.6,90.7,9.3,61.4,38.6,55.1,44.9,60.6,39.4
"Kennett, MO Micro Area",61.7,38.3,80,20,37.6,62.4,41.4,58.6,54.6,45.4
"Kennewick-Richland, WA Metro Area",69.1,30.9,82.9,17.1,49.8,50.2,55.4,44.6,52.8,47.2
"Kerrville, TX Micro Area",68.4,31.6,80.7,19.3,35.5,64.5,41.5,58.5,65.2,34.8
"Ketchikan, AK Micro Area",63.9,36.1,81.7,18.3,49.5,50.5,44,56,46.4,53.6
"Key West, FL Micro Area",59.1,40.9,69.5,30.5,52,48,45.6,54.4,50,50
"Kill Devil Hills, NC Micro Area",76.2,23.8,88.1,11.9,69.8,30.2,53,47,67.3,32.7
"Killeen-Temple, TX Metro Area",56.3,43.7,70.6,29.4,47.1,52.9,42.5,57.5,41.9,58.1
"Kingsport-Bristol, TN-VA Metro Area",73.5,26.5,86.2,13.8,61.4,38.6,55.9,44.1,63.1,36.9
"Kingston, NY Metro Area",68.6,31.4,85.8,14.2,66.1,33.9,54,46,54,46
"Kingsville, TX Micro Area",51.8,48.2,77.4,22.6,48.6,51.4,28.6,71.4,31.1,68.9
"Kinston, NC Micro Area",56.9,43.1,77.2,22.8,40.3,59.7,37.7,62.3,46.5,53.5
"Kirksville, MO Micro Area",62.6,37.4,82.6,17.4,74.2,25.8,48.1,51.9,44.2,55.8
"Klamath Falls, OR Micro Area",64.2,35.8,80.5,19.5,53.2,46.8,40.5,59.5,53.3,46.7
"Knoxville, TN Metro Area",69.2,30.8,83.6,16.4,58.5,41.5,52.3,47.7,55.1,44.9
"Kokomo, IN Metro Area",72.1,27.9,87.8,12.2,64.8,35.2,50.9,49.1,61.5,38.5
"Laconia, NH Micro Area",76.6,23.4,90.5,9.5,66,34,53.4,46.6,63,37
"La Crosse-Onalaska, WI-MN Metro Area",65.3,34.7,88.1,11.9,57.2,42.8,46,54,45.2,54.8
"Lafayette, LA Metro Area",69.4,30.6,86.3,13.7,62.8,37.2,47.6,52.4,55.2,44.8
"Lafayette-West Lafayette, IN Metro Area",59.2,40.8,81.2,18.8,61.2,38.8,40.5,59.5,39.7,60.3
"La Grande, OR Micro Area",66.5,33.5,82.3,17.7,42,58,45.9,54.1,54.2,45.8
"LaGrange, GA-AL Micro Area",62.5,37.5,80.7,19.3,53.6,46.4,43.4,56.6,49.7,50.3
"Lake Charles, LA Metro Area",69.2,30.8,86.7,13.3,70.7,29.3,46.1,53.9,54.9,45.1
"Lake City, FL Micro Area",72.6,27.4,85.3,14.7,71.2,28.8,58.4,41.6,62.2,37.8
"Lake Havasu City-Kingman, AZ Metro Area",70.4,29.6,81.7,18.3,60.5,39.5,49.4,50.6,63.4,36.6
