Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
"Alexandria, LA Metro Area",65.7,34.3,83.3,16.7,59.6,40.4,43.4,56.6,55.4,44.6
"Alexandria, MN Micro Area",73.9,26.1,91.2,8.8,64.4,35.6,60.7,39.3,51.3,48.7
"Alice, TX Micro Area",70.6,29.4,78.8,21.2,61.3,38.7,56.8,43.2,66.1,33.9
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",68.9,31.1,85.1,14.9,61.4,38.6,45.5,54.5,53.8,46.2
"Alma, MI Micro Area",75.9,24.1,87.8,12.2,69.6,30.4,60.1,39.9,64.2,35.8
"Alpena, MI Micro Area",78.4,21.6,91.8,8.2,83.8,16.2,62.7,37.3,66.2,33.8
"Altoona, PA Metro Area",70.3,29.7,87.5,12.5,60.8,39.2,55.3,44.7,54.9,45.1
"Altus, OK Micro Area",61.3,38.7,73.6,26.4,58,42,36,64,51.9,48.1
"Amarillo, TX Metro Area",63.4,36.6,79.1,20.9,48.3,51.7,45.1,54.9,49.3,50.7
"Americus, GA Micro Area",60.4,39.6,82.9,17.1,54,46,33.8,66.2,47.9,52.1
"Ames, IA Metro Area",59.7,40.3,86.3,13.7,54.1,45.9,55.7,44.3,35.5,64.5
"Amsterdam, NY Micro Area",67.5,32.5,85,15,61.6,38.4,45.4,54.6,55.7,44.3
"Anchorage, AK Metro Area",65.6,34.4,78.8,21.2,55.3,44.7,50.2,49.8,51.9,48.1
"Andrews, TX Micro Area",74.7,25.3,76.6,23.4,25.1,74.9,83.7,16.3,70.7,29.3
"Angola, IN Micro Area",78.7,21.3,87.1,12.9,65.5,34.5,65.9,34.1,69.7,30.3
"Ann Arbor, MI Metro Area",61.5,38.5,84.7,15.3,52.3,47.7,50.4,49.6,39.7,60.3
"Anniston-Oxford, AL Metro Area",70.4,29.6,85,15,61.5,38.5,49,51,60.9,39.1
"Appleton, WI Metro Area",73.4,26.6,89.4,10.6,63.4,36.6,52,48,51.8,48.2
"Arcadia, FL Micro Area",68.9,31.1,76.3,23.7,61.9,38.1,61.7,38.3,62.6,37.4
"Ardmore, OK Micro Area",68.4,31.6,81.9,18.1,53.1,46.9,54.2,45.8,57.9,42.1
"Arecibo, PR Metro Area",69.6,30.4,83.1,16.9,64.1,35.9,56.3,43.7,61.2,38.8
"Arkadelphia, AR Micro Area",59,41,81.6,18.4,38.7,61.3,45,55,38.6,61.4
"Asheville, NC Metro Area",68,32,82.6,17.4,64,36,51.8,48.2,53.6,46.4
"Ashland, OH Micro Area",75.2,24.8,88,12,73.3,26.7,55.1,44.9,61.4,38.6
"Ashtabula, OH Micro Area",71.5,28.5,86.7,13.3,65.1,34.9,50.1,49.9,60.7,39.3
"Astoria, OR Micro Area",60.7,39.3,76.2,23.8,64.8,35.2,59.4,40.6,43.6,56.4
"Atchison, KS Micro Area",71.4,28.6,84.6,15.4,85.9,14.1,48.7,51.3,58.7,41.3
"Athens, OH Micro Area",58.9,41.1,84.3,15.7,62,38,52.7,47.3,38.8,61.2
"Athens, TN Micro Area",74.3,25.7,85.7,14.3,81.2,18.8,59.4,40.6,61.8,38.2
"Athens, TX Micro Area",76.2,23.8,83.6,16.4,74.3,25.7,64.5,35.5,68.2,31.8
